case_treatment,case_id,vendor,avg_mean_score_pct,avg_within_rubric_std_dev_pct,across_rubric_std_dev_pct,overall_min_score_pct,overall_max_score_pct,overall_score_range_pct,num_rubrics,avg_notes_per_rubric
15-anthropic,15,Anthropic,85.53,3.42,9.27,64.62,100.00,35.38,5,9.2
15-openai,15,OpenAI,62.60,31.22,1.97,11.76,91.15,79.39,4,10.0
16-anthropic,16,Anthropic,86.80,1.72,0.49,81.67,91.67,10.00,2,10.0
16-openai,16,OpenAI,78.91,3.50,2.81,62.93,86.03,23.10,2,10.0
17-anthropic,17,Anthropic,79.52,3.48,11.81,55.50,100.00,44.50,7,6.4
17-openai,17,OpenAI,86.21,5.06,1.11,73.16,100.00,26.84,3,10.0
18-anthropic,18,Anthropic,72.83,3.36,15.40,48.50,93.40,44.90,4,6.5
18-openai,18,OpenAI,79.40,3.93,7.52,64.35,92.20,27.85,3,7.7
19-anthropic,19,Anthropic,74.25,3.22,0.00,69.17,80.00,10.83,1,10.0
19-openai,19,OpenAI,73.33,3.10,0.00,65.83,75.83,10.00,1,10.0
