score_id,rubric_id,generated_note_id,overall_score,case_id,note_vendor,note_model,created,scoring_vendor,scoring_result,rubric_json,note_vendor_clean,model_short,max_possible_score,normalized_score
4073,1394,467,70.5,15,OpenAI,gpt-4o,2025-09-10 08:08:02.513088,OpenAI,"[[0, ""Key patient statements about symptoms such as back pain and dizziness were captured."", 90, 18.0], [1, ""Clinician's assessment of dizziness and medication effects was accurately documented."", 85, 12.75], [2, ""Relevant context from the chart, including medication and conditions, was included."", 80, 12.0], [3, ""The note is mostly complete, covering key points from the transcript."", 75, 18.75], [4, ""There is minimal verbatim copying from the chart, with good integration into the narrative."", 90, 9.0]]","[{""criterion"": ""Reward for capturing key patient statements about symptoms "", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 10}]",Openai,GPT-4o,85,82.94117647058825
4072,1173,467,88.75,15,OpenAI,gpt-4o,2025-09-10 08:08:00.085872,OpenAI,"[[0, ""The note captures key patient statements about medication adherence and effects, such as taking meclizine at night and not feeling dizzy."", 90, 18.0], [1, ""The clinician's assessment of dizziness and medication effects is accurately documented, noting the improvement with meclizine."", 85, 17.0], [2, ""Relevant context from the chart, such as current medications like Tylenol and meclizine, is included."", 80, 12.0], [3, ""No significant patient-reported symptoms or changes in condition appear to be omitted."", 100, 10.0], [4, ""There are no inaccuracies in documenting medication dosages or frequencies."", 100, 10.0], [5, ""The note is overall complete, covering key points such as medication effects and daily activities."", 85, 17.0], [6, ""There is no excessive verbatim copying from the chart; the narrative is well-integrated."", 95, 4.75]]","[{""criterion"": ""Reward for capturing key patient statements about medication adherence and effects"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Penalize for omitting significant patient-reported symptoms or changes in condition"", ""sense"": ""negative"", ""weight"": 10}, {""criterion"": ""Penalize for inaccuracies in documenting medication dosages or frequencies"", ""sense"": ""negative"", ""weight"": 10}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 5}]",Openai,GPT-4o,100,88.75
4071,1394,467,71.0,15,OpenAI,gpt-4o,2025-09-10 08:08:00.038566,OpenAI,"[[0, ""Key patient statements about symptoms such as back pain and dizziness were captured."", 90, 18.0], [1, ""Clinician's assessment of dizziness and medication effects was accurately documented."", 85, 12.75], [2, ""Relevant context from the chart, including medication and conditions, was included."", 80, 12.0], [3, ""The note is mostly complete, covering key points from the transcript."", 75, 18.75], [4, ""There is no evidence of excessive verbatim copying from the chart."", 95, 9.5]]","[{""criterion"": ""Reward for capturing key patient statements about symptoms "", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 10}]",Openai,GPT-4o,85,83.52941176470588
4070,1173,467,86.5,15,OpenAI,gpt-4o,2025-09-10 08:07:59.096574,OpenAI,"[[0, ""The note captures key patient statements about medication adherence and effects, such as taking medication at night and improved dizziness."", 90, 18.0], [1, ""The clinician's assessment of dizziness and medication effects is documented, noting improvement with meclizine."", 85, 17.0], [2, ""Relevant context from the chart, such as current medications and conditions, is partially included but lacks comprehensive detail."", 70, 10.5], [3, ""No significant patient-reported symptoms or changes in condition appear to be omitted."", 100, 10.0], [4, ""There are no inaccuracies in documenting medication dosages or frequencies."", 100, 10.0], [5, ""The note is mostly complete, covering key points from the transcript, but could include more detail."", 80, 16.0], [6, ""There is no evidence of excessive verbatim copying from the chart without integration into the narrative."", 100, 5.0]]","[{""criterion"": ""Reward for capturing key patient statements about medication adherence and effects"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Penalize for omitting significant patient-reported symptoms or changes in condition"", ""sense"": ""negative"", ""weight"": 10}, {""criterion"": ""Penalize for inaccuracies in documenting medication dosages or frequencies"", ""sense"": ""negative"", ""weight"": 10}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 5}]",Openai,GPT-4o,100,86.5
4069,1695,467,118.5,15,OpenAI,gpt-4o,2025-09-10 08:07:56.601164,OpenAI,"[[0, ""The note accurately documents the clinician's assessment of dizziness and medication effects, mentioning the improvement with meclizine."", 90, 22.5], [1, ""The note captures key patient statements about medication adherence and effects, such as taking medication at night and not feeling dizzy."", 85, 17.0], [2, ""The note includes relevant context from the chart, mentioning current medications like Tylenol and meclizine."", 80, 12.0], [3, ""There is no significant omission of patient-reported symptoms or changes in condition."", 100, 20.0], [4, ""There are no inaccuracies in documenting medication dosages or frequencies."", 100, 15.0], [5, ""The note is overall complete, covering key points from the transcript such as dizziness improvement and medication adherence."", 90, 22.5], [6, ""There is no excessive verbatim copying from the chart; the information is well-integrated into the narrative."", 95, 9.5]]","[{""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Reward for capturing key patient statements about medication adherence and effects"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Penalize for omitting significant patient-reported symptoms or changes in condition"", ""sense"": ""negative"", ""weight"": 20}, {""criterion"": ""Penalize for inaccuracies in documenting medication dosages or frequencies"", ""sense"": ""negative"", ""weight"": 15}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 10}]",Openai,GPT-4o,130,91.15384615384615
4068,1695,467,118.5,15,OpenAI,gpt-4o,2025-09-10 08:07:54.197735,OpenAI,"[[0, ""The note accurately documents the clinician's assessment of dizziness and medication effects, mentioning improvement with meclizine."", 90, 22.5], [1, ""The note captures key patient statements about medication adherence and effects, such as taking medication at night and not feeling dizzy."", 85, 17.0], [2, ""The note includes relevant context from the chart, mentioning current medications like Tylenol and meclizine."", 80, 12.0], [3, ""There is no significant omission of patient-reported symptoms or changes in condition."", 100, 20.0], [4, ""There are no inaccuracies in documenting medication dosages or frequencies."", 100, 15.0], [5, ""The note is overall complete, covering key points such as dizziness improvement and medication adherence."", 90, 22.5], [6, ""There is no excessive verbatim copying from the chart; the information is well-integrated into the narrative."", 95, 9.5]]","[{""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Reward for capturing key patient statements about medication adherence and effects"", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Penalize for omitting significant patient-reported symptoms or changes in condition"", ""sense"": ""negative"", ""weight"": 20}, {""criterion"": ""Penalize for inaccuracies in documenting medication dosages or frequencies"", ""sense"": ""negative"", ""weight"": 15}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 10}]",Openai,GPT-4o,130,91.15384615384615
4067,650,467,109.0,15,OpenAI,gpt-4o,2025-09-10 08:07:52.567916,OpenAI,"[[0, ""The note captures key patient statements about medication adherence and effects, such as taking meclizine at night and not feeling dizzy."", 90, 18.0], [1, ""The clinician's assessment of dizziness and medication effects is accurately documented, noting improvement with meclizine."", 85, 12.75], [2, ""The note includes relevant context from the chart, such as current medications like Tylenol and meclizine."", 80, 12.0], [3, ""No significant patient-reported symptoms or changes in condition were omitted."", 100, 20.0], [4, ""There are no inaccuracies in documenting medication dosages or frequencies."", 100, 15.0], [5, ""The note is mostly complete, covering key points such as medication effects and daily activities."", 85, 21.25], [6, ""There is no excessive verbatim copying from the chart; the narrative is well-integrated."", 100, 10.0]]","[{""criterion"":""Reward for capturing key patient statements about medication adherence and effects"",""sense"":""positive"",""weight"":20},{""criterion"":""Reward for accurately documenting clinician's assessment of dizziness and medication effects"",""sense"":""positive"",""weight"":15},{""criterion"":""Reward for including relevant context from the chart, such as current medications and conditions"",""sense"":""positive"",""weight"":15},{""criterion"":""Penalize for omitting significant patient-reported symptoms or changes in condition"",""sense"":""negative"",""weight"":20},{""criterion"":""Penalize for inaccuracies in documenting medication dosages or frequencies"",""sense"":""negative"",""weight"":15},{""criterion"":""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"",""sense"":""positive"",""weight"":25},{""criterion"":""Penalize for excessive verbatim copying from the chart without integration into the narrative"",""sense"":""negative"",""weight"":10}]",Openai,GPT-4o,120,90.83333333333333
4066,1394,463,10.0,15,OpenAI,gpt-4o,2025-09-10 08:07:50.462226,OpenAI,"[[0, ""The note does not capture any key patient statements about symptoms."", 0, 0.0], [1, ""There is no documentation of the clinician's assessment of dizziness and medication effects."", 0, 0.0], [2, ""The note lacks relevant context from the chart, such as current medications and conditions."", 0, 0.0], [3, ""The note is incomplete and does not cover key points from the transcript."", 0, 0.0], [4, ""There is no evidence of excessive verbatim copying from the chart."", 100, 10.0]]","[{""criterion"": ""Reward for capturing key patient statements about symptoms "", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 10}]",Openai,GPT-4o,85,11.76470588235294
4065,650,467,107.0,15,OpenAI,gpt-4o,2025-09-10 08:07:49.665201,OpenAI,"[[0, ""The note captures key patient statements about medication adherence and effects, such as taking medication at night and improved dizziness."", 90, 18.0], [1, ""The clinician's assessment of dizziness and medication effects is accurately documented, noting improvement with meclizine."", 85, 12.75], [2, ""Relevant context from the chart, such as current medications and conditions, is included, mentioning Tylenol and meclizine."", 80, 12.0], [3, ""No significant patient-reported symptoms or changes in condition appear to be omitted."", 95, 19.0], [4, ""There are no inaccuracies in documenting medication dosages or frequencies."", 100, 15.0], [5, ""The note is mostly complete, covering key points such as medication effects and daily activities."", 85, 21.25], [6, ""There is no excessive verbatim copying from the chart; the narrative is well-integrated."", 90, 9.0]]","[{""criterion"":""Reward for capturing key patient statements about medication adherence and effects"",""sense"":""positive"",""weight"":20},{""criterion"":""Reward for accurately documenting clinician's assessment of dizziness and medication effects"",""sense"":""positive"",""weight"":15},{""criterion"":""Reward for including relevant context from the chart, such as current medications and conditions"",""sense"":""positive"",""weight"":15},{""criterion"":""Penalize for omitting significant patient-reported symptoms or changes in condition"",""sense"":""negative"",""weight"":20},{""criterion"":""Penalize for inaccuracies in documenting medication dosages or frequencies"",""sense"":""negative"",""weight"":15},{""criterion"":""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"",""sense"":""positive"",""weight"":25},{""criterion"":""Penalize for excessive verbatim copying from the chart without integration into the narrative"",""sense"":""negative"",""weight"":10}]",Openai,GPT-4o,120,89.16666666666667
4064,1394,466,71.0,15,OpenAI,gpt-4o,2025-09-10 08:07:46.209457,OpenAI,"[[0, ""The note captures key patient statements about symptoms such as dizziness with position changes and back pain."", 90, 18.0], [1, ""The note accurately documents the clinician's assessment of dizziness and medication effects, mentioning improvement with meclizine."", 85, 12.75], [2, ""The note includes relevant context about current medications like Tylenol and meclizine."", 80, 12.0], [3, ""The note is mostly complete, covering key points such as symptoms and treatments, but lacks some details."", 75, 18.75], [4, ""There is no excessive verbatim copying from the chart; the information is well-integrated into the narrative."", 95, 9.5]]","[{""criterion"": ""Reward for capturing key patient statements about symptoms "", ""sense"": ""positive"", ""weight"": 20}, {""criterion"": ""Reward for accurately documenting clinician's assessment of dizziness and medication effects"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for including relevant context from the chart, such as current medications and conditions"", ""sense"": ""positive"", ""weight"": 15}, {""criterion"": ""Reward for overall completeness of the note, ensuring all key points from the transcript are covered"", ""sense"": ""positive"", ""weight"": 25}, {""criterion"": ""Penalize for excessive verbatim copying from the chart without integration into the narrative"", ""sense"": ""negative"", ""weight"": 10}]",Openai,GPT-4o,85,83.52941176470588
