,Patient,Profile Word Count,Profile Sentence Count,Words per Sentence,Reading Ease,Grade Level
0,Patient 1,54,3,13.5,39.73166666666668,12.18925925925926
1,Patient 10,56,4,11.2,41.553571428571445,10.941428571428574
2,Patient 11,53,4,10.6,54.514551886792475,8.947311320754718
3,Patient 12,54,4,10.8,44.29916666666671,10.43425925925926
4,Patient 13,50,4,10.0,41.86750000000001,10.525000000000002
5,Patient 14,55,4,11.0,43.67511363636365,10.583409090909093
6,Patient 15,53,5,8.833333333333334,27.3787028301887,12.732216981132076
7,Patient 16,50,3,12.5,39.33033333333336,11.914000000000001
8,Patient 17,49,4,9.8,68.36451530612246,6.767091836734696
9,Patient 18,61,4,12.2,44.346413934426266,10.862418032786888
10,Patient 19,62,4,12.4,32.818629032258116,12.532419354838712
11,Patient 2,58,3,14.5,47.18408045977014,11.48103448275862
12,Patient 20,65,4,13.0,28.95048076923078,13.258269230769233
13,Patient 21,52,4,10.4,37.455384615384645,11.264615384615386
14,Patient 22,48,3,12.0,42.545000000000016,11.3
15,Patient 23,53,3,13.25,42.0505031446541,11.783018867924532
16,Patient 24,55,3,13.75,51.32848484848489,10.654545454545453
17,Patient 25,58,4,11.6,20.92890804597704,15.143103448275863
18,Patient 26,50,4,10.0,58.78750000000002,8.165000000000003
19,Patient 27,49,4,9.8,32.10737244897962,11.82423469387755
20,Patient 28,51,4,10.2,56.211397058823565,8.586421568627454
21,Patient 29,49,4,9.8,11.389005102040812,14.714030612244901
22,Patient 3,55,4,11.0,20.602386363636384,13.801590909090908
23,Patient 30,48,5,8.0,50.130000000000024,9.248333333333335
24,Patient 31,51,4,10.2,56.211397058823565,8.586421568627454
25,Patient 32,53,4,10.6,43.34096698113211,10.505801886792455
26,Patient 33,55,5,9.166666666666666,42.136931818181836,10.797954545454548
27,Patient 34,50,3,12.5,38.32197278911568,11.97183673469388
28,Patient 35,48,3,12.0,31.97,12.775000000000002
29,Patient 36,50,4,10.0,53.71150000000003,8.873000000000001
30,Patient 37,45,3,11.25,48.73000000000002,10.18888888888889
31,Patient 38,50,5,8.333333333333334,46.94350000000003,9.817
32,Patient 39,51,4,10.2,42.94080882352944,10.437401960784317
33,Patient 4,54,3,13.5,41.298333333333346,11.970740740740741
34,Patient 40,51,5,8.5,48.84670588235295,8.980156862745101
35,Patient 5,54,4,10.8,42.732500000000044,10.652777777777779
36,Patient 6,52,4,10.4,29.32076923076926,12.399230769230773
37,Patient 7,50,5,8.333333333333334,40.1755,10.761000000000003
38,Patient 8,52,3,13.0,37.93782051282054,12.273846153846154
39,Patient 9,62,4,12.4,20.537983870967764,14.245322580645162
