,Patient,Profile Word Count,Profile Sentence Count,Words per Sentence,Reading Ease,Grade Level
0,Patient 1,85,5,14.166666666666666,48.24823529411768,10.75294117647059
1,Patient 10,72,5,12.0,17.143999999999977,14.445444444444448
2,Patient 11,70,4,14.0,38.001071428571464,12.306428571428572
3,Patient 12,73,5,12.166666666666666,40.19956164383564,11.279342465753427
4,Patient 13,65,4,13.0,27.648942307692323,13.439807692307692
5,Patient 14,63,4,12.6,29.705892857142885,13.02869047619048
6,Patient 15,63,4,12.6,48.50589285714287,10.406468253968253
7,Patient 16,70,4,14.0,39.20964285714288,12.137857142857143
8,Patient 17,71,4,14.2,52.98213028169016,10.278978873239438
9,Patient 18,66,4,13.2,31.142045454545467,13.014696969696974
10,Patient 19,57,4,11.4,30.592302631578974,12.532412280701756
11,Patient 2,75,5,12.5,39.33000000000001,11.500000000000004
12,Patient 20,66,5,11.0,37.055181818181836,11.370121212121212
13,Patient 21,73,4,14.6,41.1304280821918,12.056267123287672
14,Patient 22,66,4,13.2,45.24204545454546,11.048030303030306
15,Patient 23,65,4,13.0,31.55355769230769,12.895192307692309
16,Patient 24,62,4,12.4,34.183145161290355,12.342096774193546
17,Patient 25,65,4,13.0,43.267403846153854,11.261346153846159
18,Patient 26,76,5,12.666666666666666,27.77278947368424,13.161684210526317
19,Patient 27,70,4,14.0,47.66964285714289,10.957857142857144
20,Patient 28,63,4,12.6,40.44875000000002,11.53027777777778
21,Patient 29,64,4,12.8,51.798125,10.009375000000002
22,Patient 3,61,4,12.2,23.54313524590168,13.76405737704918
23,Patient 30,69,5,11.5,49.37582608695652,9.800695652173914
24,Patient 31,72,4,14.4,35.815,12.735555555555557
25,Patient 32,64,4,12.8,50.47625000000002,10.193750000000005
26,Patient 33,54,4,10.8,23.932500000000033,13.275000000000002
27,Patient 34,62,4,12.4,50.55733870967745,10.058225806451613
28,Patient 35,62,5,10.333333333333334,45.51674193548391,9.991161290322584
29,Patient 36,75,5,12.5,32.56200000000004,12.444000000000003
30,Patient 37,68,5,11.333333333333334,42.492764705882365,10.71105882352941
31,Patient 38,71,5,11.833333333333334,43.47833802816902,10.722647887323948
32,Patient 39,70,5,11.666666666666666,50.013571428571424,9.761428571428574
33,Patient 4,74,6,10.571428571428571,41.122072072072086,10.587567567567572
34,Patient 40,65,5,10.833333333333334,32.24923076923079,11.990769230769235
35,Patient 5,84,5,14.0,45.76157142857147,11.050095238095238
36,Patient 6,79,5,13.166666666666666,55.866354430379744,9.392253164556966
37,Patient 7,74,5,12.333333333333334,55.767054054054086,9.15767567567568
38,Patient 8,74,4,14.8,46.29533783783785,11.397972972972973
39,Patient 9,72,4,14.4,18.190000000000026,15.193888888888889
