,Patient,Total Turns,Total Characters,Total Words,Clinician Turns,Patient Turns,Words/Turn,C:P Turn Ratio,C:P Word Ratio,C:P Words/Turn Ratio,First Speaker,Max Turn Length,Clinician Word %
0,Patient_1,7,910,169,4,3,24.142857142857142,1.3333333333333333,1.5223880597014925,1.1417910447761195,Clinician,33,60.35502958579882
1,Patient_10,6,732,139,3,3,23.166666666666668,1.0,1.106060606060606,1.106060606060606,Clinician,28,52.51798561151079
2,Patient_11,6,810,150,3,3,25.0,1.0,1.0833333333333333,1.0833333333333333,Patient,29,52.0
3,Patient_12,6,772,146,3,3,24.333333333333332,1.0,1.056338028169014,1.056338028169014,Clinician,29,51.36986301369863
4,Patient_13,6,736,140,3,3,23.333333333333332,1.0,1.0588235294117647,1.0588235294117647,Clinician,27,51.42857142857143
5,Patient_14,6,656,117,3,3,19.5,1.0,1.2075471698113207,1.2075471698113207,Clinician,27,54.7008547008547
6,Patient_15,6,896,161,3,3,26.833333333333332,1.0,1.2054794520547945,1.2054794520547945,Patient,36,54.6583850931677
7,Patient_16,6,857,148,3,3,24.666666666666668,1.0,1.1764705882352942,1.1764705882352942,Patient,32,54.054054054054056
8,Patient_17,6,949,169,3,3,28.166666666666668,1.0,1.036144578313253,1.036144578313253,Patient,35,50.887573964497044
9,Patient_18,6,883,151,3,3,25.166666666666668,1.0,1.3968253968253967,1.3968253968253967,Patient,35,58.27814569536424
10,Patient_19,5,707,130,2,3,26.0,0.6666666666666666,0.8055555555555556,1.2083333333333333,Patient,30,44.61538461538461
11,Patient_2,6,713,129,3,3,21.5,1.0,1.15,1.15,Patient,28,53.48837209302326
12,Patient_20,7,804,143,4,3,20.428571428571427,1.3333333333333333,1.3833333333333333,1.0375,Clinician,23,58.04195804195804
13,Patient_21,6,879,165,3,3,27.5,1.0,1.2297297297297298,1.2297297297297296,Patient,38,55.15151515151515
14,Patient_22,7,720,133,4,3,19.0,1.3333333333333333,1.462962962962963,1.0972222222222223,Clinician,23,59.3984962406015
15,Patient_23,6,775,143,3,3,23.833333333333332,1.0,1.0724637681159421,1.0724637681159421,Clinician,29,51.74825174825175
16,Patient_24,6,913,167,3,3,27.833333333333332,1.0,1.4558823529411764,1.4558823529411764,Patient,34,59.2814371257485
17,Patient_25,5,703,137,3,2,27.4,1.5,1.74,1.16,Clinician,32,63.503649635036496
18,Patient_26,7,804,152,4,3,21.714285714285715,1.3333333333333333,1.2686567164179106,0.9514925373134329,Clinician,25,55.921052631578945
19,Patient_27,5,809,150,3,2,30.0,1.5,1.6785714285714286,1.119047619047619,Clinician,36,62.666666666666664
20,Patient_28,6,671,126,3,3,21.0,1.0,1.1724137931034482,1.1724137931034484,Clinician,28,53.96825396825397
21,Patient_29,6,899,170,3,3,28.333333333333332,1.0,1.0987654320987654,1.0987654320987654,Patient,33,52.35294117647059
22,Patient_3,7,781,141,4,3,20.142857142857142,1.3333333333333333,1.82,1.365,Clinician,27,64.53900709219859
23,Patient_30,5,805,150,2,3,30.0,0.6666666666666666,0.9736842105263158,1.4605263157894737,Patient,47,49.333333333333336
24,Patient_31,6,810,149,3,3,24.833333333333332,1.0,1.0694444444444444,1.0694444444444444,Patient,30,51.67785234899329
25,Patient_32,6,820,150,3,3,25.0,1.0,1.0547945205479452,1.0547945205479452,Clinician,29,51.333333333333336
26,Patient_33,7,868,164,3,4,23.428571428571427,0.75,0.8636363636363636,1.1515151515151514,Patient,29,46.34146341463415
27,Patient_34,6,826,149,3,3,24.833333333333332,1.0,1.328125,1.328125,Patient,36,57.04697986577181
28,Patient_35,6,948,175,3,3,29.166666666666668,1.0,1.1341463414634145,1.1341463414634148,Patient,37,53.142857142857146
29,Patient_36,7,912,164,3,4,23.428571428571427,0.75,0.8636363636363636,1.1515151515151514,Patient,31,46.34146341463415
30,Patient_37,5,711,135,2,3,27.0,0.6666666666666666,0.6875,1.03125,Patient,33,40.74074074074074
31,Patient_38,6,737,136,3,3,22.666666666666668,1.0,0.9710144927536232,0.9710144927536232,Patient,32,49.26470588235294
32,Patient_39,6,1056,186,3,3,31.0,1.0,1.2962962962962963,1.2962962962962963,Patient,41,56.45161290322581
33,Patient_4,6,682,123,3,3,20.5,1.0,1.320754716981132,1.320754716981132,Patient,29,56.91056910569106
34,Patient_40,5,965,178,2,3,35.6,0.6666666666666666,0.6481481481481481,0.9722222222222222,Patient,39,39.325842696629216
35,Patient_5,7,812,148,3,4,21.142857142857142,0.75,1.1142857142857143,1.4857142857142858,Patient,30,52.7027027027027
36,Patient_6,6,773,149,3,3,24.833333333333332,1.0,1.0694444444444444,1.0694444444444444,Patient,30,51.67785234899329
37,Patient_7,6,868,158,3,3,26.333333333333332,1.0,1.2253521126760563,1.2253521126760563,Clinician,31,55.063291139240505
38,Patient_8,6,777,139,3,3,23.166666666666668,1.0,1.3559322033898304,1.3559322033898304,Patient,33,57.55395683453237
39,Patient_9,7,930,177,4,3,25.285714285714285,1.3333333333333333,1.2692307692307692,0.9519230769230769,Clinician,39,55.932203389830505
