case_id,note_id,vendor,model
 15,990,Anthropic,claude-3-5-sonnet-20241022
 15,992,Anthropic,claude-3-5-sonnet-20241022
 15,994,Anthropic,claude-3-5-sonnet-20241022
 15,995,Anthropic,claude-3-5-sonnet-20241022
 15,997,Anthropic,claude-3-5-sonnet-20241022
 15,460,OpenAI,gpt-4o
 15,462,OpenAI,gpt-4o
 15,463,OpenAI,gpt-4o
 15,466,OpenAI,gpt-4o
 15,467,OpenAI,gpt-4o
 16,988,Anthropic,claude-3-5-sonnet-20241022
 16,989,Anthropic,claude-3-5-sonnet-20241022
 16,991,Anthropic,claude-3-5-sonnet-20241022
 16,993,Anthropic,claude-3-5-sonnet-20241022
 16,996,Anthropic,claude-3-5-sonnet-20241022
 16,458,OpenAI,gpt-4o
 16,459,OpenAI,gpt-4o
 16,461,OpenAI,gpt-4o
 16,464,OpenAI,gpt-4o
 16,465,OpenAI,gpt-4o
 17,998,Anthropic,claude-3-5-sonnet-20241022
 17,999,Anthropic,claude-3-5-sonnet-20241022
 17,1000,Anthropic,claude-3-5-sonnet-20241022
 17,1001,Anthropic,claude-3-5-sonnet-20241022
 17,1002,Anthropic,claude-3-5-sonnet-20241022
 17,468,OpenAI,gpt-4o
 17,469,OpenAI,gpt-4o
 17,470,OpenAI,gpt-4o
 17,471,OpenAI,gpt-4o
 17,472,OpenAI,gpt-4o
 18,1003,Anthropic,claude-3-5-sonnet-20241022
 18,1004,Anthropic,claude-3-5-sonnet-20241022
 18,1005,Anthropic,claude-3-5-sonnet-20241022
 18,1006,Anthropic,claude-3-5-sonnet-20241022
 18,1007,Anthropic,claude-3-5-sonnet-20241022
 18,473,OpenAI,gpt-4o
 18,474,OpenAI,gpt-4o
 18,475,OpenAI,gpt-4o
 18,476,OpenAI,gpt-4o
 18,477,OpenAI,gpt-4o
 19,1008,Anthropic,claude-3-5-sonnet-20241022
 19,1009,Anthropic,claude-3-5-sonnet-20241022
 19,1010,Anthropic,claude-3-5-sonnet-20241022
 19,1011,Anthropic,claude-3-5-sonnet-20241022
 19,1012,Anthropic,claude-3-5-sonnet-20241022
 19,478,OpenAI,gpt-4o
 19,479,OpenAI,gpt-4o
 19,480,OpenAI,gpt-4o
 19,481,OpenAI,gpt-4o
 19,482,OpenAI,gpt-4o
 20,1013,Anthropic,claude-3-5-sonnet-20241022
 20,1014,Anthropic,claude-3-5-sonnet-20241022
 20,1015,Anthropic,claude-3-5-sonnet-20241022
 20,1016,Anthropic,claude-3-5-sonnet-20241022
 20,1017,Anthropic,claude-3-5-sonnet-20241022
 20,483,OpenAI,gpt-4o
 20,484,OpenAI,gpt-4o
 20,485,OpenAI,gpt-4o
 20,486,OpenAI,gpt-4o
 20,487,OpenAI,gpt-4o
 21,1018,Anthropic,claude-3-5-sonnet-20241022
 21,1019,Anthropic,claude-3-5-sonnet-20241022
 21,1020,Anthropic,claude-3-5-sonnet-20241022
 21,1021,Anthropic,claude-3-5-sonnet-20241022
 21,1022,Anthropic,claude-3-5-sonnet-20241022
 21,488,OpenAI,gpt-4o
