case_id,note_id,vendor,model
26,3371,OpenAI,gpt-4o
26,3372,OpenAI,gpt-4o
26,3377,OpenAI,gpt-4o
26,3379,OpenAI,gpt-4o
26,3386,OpenAI,gpt-4o
26,3375,OpenAI,gpt-4o
26,3380,OpenAI,gpt-4o
26,3381,OpenAI,gpt-4o
26,3383,OpenAI,gpt-4o
26,3384,OpenAI,gpt-4o
26,3376,OpenAI,gpt-4o
26,4530,OpenAI,gpt-4o
26,4531,OpenAI,gpt-4o
26,4532,OpenAI,gpt-4o
26,4533,OpenAI,gpt-4o
26,3388,OpenAI,gpt-4o
26,4528,OpenAI,gpt-4o
26,4529,OpenAI,gpt-4o
26,4534,OpenAI,gpt-4o
26,4535,OpenAI,gpt-4o
29,3374,OpenAI,gpt-4o
29,3378,OpenAI,gpt-4o
29,3396,OpenAI,gpt-4o
29,3438,OpenAI,gpt-4o
29,4550,OpenAI,gpt-4o
29,3373,OpenAI,gpt-4o
29,3385,OpenAI,gpt-4o
29,3414,OpenAI,gpt-4o
29,3449,OpenAI,gpt-4o
29,4544,OpenAI,gpt-4o
29,3389,OpenAI,gpt-4o
29,3391,OpenAI,gpt-4o
29,4545,OpenAI,gpt-4o
29,4547,OpenAI,gpt-4o
29,4548,OpenAI,gpt-4o
29,3382,OpenAI,gpt-4o
29,3392,OpenAI,gpt-4o
29,3394,OpenAI,gpt-4o
29,4549,OpenAI,gpt-4o
29,4551,OpenAI,gpt-4o
30,3443,OpenAI,gpt-4o
30,3445,OpenAI,gpt-4o
30,3472,OpenAI,gpt-4o
30,3476,OpenAI,gpt-4o
30,3479,OpenAI,gpt-4o
30,3454,OpenAI,gpt-4o
30,3463,OpenAI,gpt-4o
30,3465,OpenAI,gpt-4o
30,3466,OpenAI,gpt-4o
30,3470,OpenAI,gpt-4o
30,3395,OpenAI,gpt-4o
30,3397,OpenAI,gpt-4o
30,3399,OpenAI,gpt-4o
30,3402,OpenAI,gpt-4o
30,3412,OpenAI,gpt-4o
30,3398,OpenAI,gpt-4o
30,3400,OpenAI,gpt-4o
30,3403,OpenAI,gpt-4o
30,3415,OpenAI,gpt-4o
30,4546,OpenAI,gpt-4o
31,3495,OpenAI,gpt-4o
31,3508,OpenAI,gpt-4o
31,3528,OpenAI,gpt-4o
31,3544,OpenAI,gpt-4o
31,3545,OpenAI,gpt-4o
31,3473,OpenAI,gpt-4o
31,3506,OpenAI,gpt-4o
31,3525,OpenAI,gpt-4o
31,3540,OpenAI,gpt-4o
31,3553,OpenAI,gpt-4o
31,3433,OpenAI,gpt-4o
31,3435,OpenAI,gpt-4o
31,3439,OpenAI,gpt-4o
31,3440,OpenAI,gpt-4o
31,3442,OpenAI,gpt-4o
31,3427,OpenAI,gpt-4o
31,3428,OpenAI,gpt-4o
31,3430,OpenAI,gpt-4o
31,3437,OpenAI,gpt-4o
31,3447,OpenAI,gpt-4o
32,3572,OpenAI,gpt-4o
32,3594,OpenAI,gpt-4o
32,3596,OpenAI,gpt-4o
32,3601,OpenAI,gpt-4o
32,3628,OpenAI,gpt-4o
32,3555,OpenAI,gpt-4o
32,3556,OpenAI,gpt-4o
32,3558,OpenAI,gpt-4o
32,3570,OpenAI,gpt-4o
32,3592,OpenAI,gpt-4o
32,3446,OpenAI,gpt-4o
32,3452,OpenAI,gpt-4o
32,3455,OpenAI,gpt-4o
32,3490,OpenAI,gpt-4o
32,3497,OpenAI,gpt-4o
32,3450,OpenAI,gpt-4o
32,3460,OpenAI,gpt-4o
32,3461,OpenAI,gpt-4o
32,3482,OpenAI,gpt-4o
32,3491,OpenAI,gpt-4o
37,3867,OpenAI,gpt-4o
37,3875,OpenAI,gpt-4o
37,3888,OpenAI,gpt-4o
37,4552,OpenAI,gpt-4o
37,4553,OpenAI,gpt-4o
37,3865,OpenAI,gpt-4o
37,3866,OpenAI,gpt-4o
37,3869,OpenAI,gpt-4o
37,3884,OpenAI,gpt-4o
37,4554,OpenAI,gpt-4o
37,3874,OpenAI,gpt-4o
37,3877,OpenAI,gpt-4o
37,3878,OpenAI,gpt-4o
37,4555,OpenAI,gpt-4o
37,4556,OpenAI,gpt-4o
37,3876,OpenAI,gpt-4o
37,3880,OpenAI,gpt-4o
37,3886,OpenAI,gpt-4o
37,3887,OpenAI,gpt-4o
37,3889,OpenAI,gpt-4o
38,3868,OpenAI,gpt-4o
38,3873,OpenAI,gpt-4o
38,3883,OpenAI,gpt-4o
38,3891,OpenAI,gpt-4o
38,3892,OpenAI,gpt-4o
38,3870,OpenAI,gpt-4o
38,3879,OpenAI,gpt-4o
38,3890,OpenAI,gpt-4o
